Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Member Type
0h 28m 36s,1/1/2014 0:06,11th & Kenyon St NW,31102,1/1/2014 0:34,15th & F St NE,31632,W01363,Registered
0h 2m 34s,1/1/2014 0:11,Park Rd & Holmead Pl NW,31602,1/1/2014 0:13,Lamont & Mt Pleasant NW,31107,W01433,Registered
0h 5m 18s,1/1/2014 0:12,Convention Center / 7th & M St NW,31223,1/1/2014 0:17,New Jersey Ave & R St NW,31509,W00065,Registered
0h 8m 0s,1/1/2014 0:14,14th & Rhode Island Ave NW,31203,1/1/2014 0:22,7th & T St NW,31109,W20903,Registered
0h 5m 45s,1/1/2014 0:15,Thomas Circle,31241,1/1/2014 0:21,5th & K St NW,31600,W20888,Registered
0h 21m 30s,1/1/2014 0:16,Market Square / King St & Royal St,31042,1/1/2014 0:37,S Glebe & Potomac Ave,31010,W00854,Registered
0h 21m 38s,1/1/2014 0:16,Market Square / King St & Royal St,31042,1/1/2014 0:38,S Glebe & Potomac Ave,31010,W00107,Registered
0h 8m 35s,1/1/2014 0:19,Constitution Ave & 2nd St NW/DOL,31271,1/1/2014 0:28,7th & F St NW / National Portrait Gallery,31232,W20352,Registered
0h 6m 38s,1/1/2014 0:20,Constitution Ave & 2nd St NW/DOL,31271,1/1/2014 0:26,7th & F St NW / National Portrait Gallery,31232,W20825,Registered
0h 7m 50s,1/1/2014 0:20,Constitution Ave & 2nd St NW/DOL,31271,1/1/2014 0:28,7th & F St NW / National Portrait Gallery,31232,W00319,Registered
0h 5m 39s,1/1/2014 0:21,Constitution Ave & 2nd St NW/DOL,31271,1/1/2014 0:27,7th & F St NW / National Portrait Gallery,31232,W20363,Registered
0h 8m 55s,1/1/2014 0:22,Columbia Rd & Belmont St NW,31113,1/1/2014 0:31,20th & O St NW / Dupont South,31234,W00032,Registered
0h 8m 7s,1/1/2014 0:22,Columbia Rd & Belmont St NW,31113,1/1/2014 0:30,14th & R St NW,31202,W21482,Registered
0h 6m 50s,1/1/2014 0:22,17th & K St NW / Farragut Square,31233,1/1/2014 0:29,17th & Corcoran St NW,31214,W01026,Registered
0h 7m 18s,1/1/2014 0:22,17th & K St NW / Farragut Square,31233,1/1/2014 0:29,17th & Corcoran St NW,31214,W20586,Registered
0h 4m 30s,1/1/2014 0:23,17th & Corcoran St NW,31214,1/1/2014 0:28,Massachusetts Ave & Dupont Circle NW,31200,W20406,Registered
0h 4m 54s,1/1/2014 0:24,Adams Mill & Columbia Rd NW,31104,1/1/2014 0:29,14th & Harvard St NW,31105,W00078,Registered
0h 10m 3s,1/1/2014 0:26,20th & L St NW,31250,1/1/2014 0:36,7th & F St NW / National Portrait Gallery,31232,W00584,Casual
0h 12m 49s,1/1/2014 0:26,Convention Center / 7th & M St NW,31223,1/1/2014 0:38,14th & R St NW,31202,W20730,Registered
0h 10m 40s,1/1/2014 0:26,Massachusetts Ave & Dupont Circle NW,31200,1/1/2014 0:37,14th & V St NW,31101,W01365,Registered
0h 12m 33s,1/1/2014 0:26,Convention Center / 7th & M St NW,31223,1/1/2014 0:38,14th & R St NW,31202,W01261,Registered
0h 9m 52s,1/1/2014 0:26,8th & H St NW,31228,1/1/2014 0:36,1st & M St NE,31603,W20919,Registered
0h 9m 12s,1/1/2014 0:30,14th & V St NW,31101,1/1/2014 0:39,Georgia Ave and Fairmont St NW,31207,W20359,Registered
0h 13m 0s,1/1/2014 0:31,Market Square / King St & Royal St,31042,1/1/2014 0:44,Braddock Rd Metro,31047,W20639,Registered
0h 12m 24s,1/1/2014 0:31,Market Square / King St & Royal St,31042,1/1/2014 0:44,Braddock Rd Metro,31047,W00017,Registered
0h 4m 49s,1/1/2014 0:31,4th & East Capitol St NE,31618,1/1/2014 0:36,3rd & H St NE,31616,W20188,Registered
0h 13m 20s,1/1/2014 0:31,14th & R St NW,31202,1/1/2014 0:45,M St & Delaware Ave NE,31627,W21482,Registered
0h 6m 39s,1/1/2014 0:32,17th St & Massachusetts Ave NW,31267,1/1/2014 0:39,19th St & Pennsylvania Ave NW,31100,W00591,Registered
0h 6m 37s,1/1/2014 0:32,Eastern Market / 7th & North Carolina Ave SE,31610,1/1/2014 0:39,1st & K St SE,31628,W20412,Registered
0h 6m 52s,1/1/2014 0:33,Lamont & Mt Pleasant NW,31107,1/1/2014 0:40,Georgia & New Hampshire Ave NW,31400,W00324,Registered
0h 23m 15s,1/1/2014 0:33,14th & Belmont St NW,31119,1/1/2014 0:57,Eastern Market / 7th & North Carolina Ave SE,31610,W00098,Registered
0h 16m 45s,1/1/2014 0:33,20th & L St NW,31250,1/1/2014 0:50,4th & M St SW,31108,W01425,Registered
